2015/2016,C.R.A. LOS BAÑALES,Sádaba,50230,Sádaba,8,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LOS BAÑALES,Uncastillo,50267,Uncastillo,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LUIS BUÑUEL,Bayo (El),50095,Ejea de los Caballeros,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LUIS BUÑUEL,Bárdenas,50095,Ejea de los Caballeros,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LUIS BUÑUEL,Pinsoro,50095,Ejea de los Caballeros,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LUIS BUÑUEL,Rivas,50095,Ejea de los Caballeros,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LUIS BUÑUEL,Santa Anastasia,50095,Ejea de los Caballeros,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LUIS BUÑUEL,Valareña,50095,Ejea de los Caballeros,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MAESTRAZGO - GUDAR,Linares de Mora,44137,Linares de Mora,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MAESTRAZGO - GUDAR,Mosqueruela,44160,Mosqueruela,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MARIA MOLINER,Burgo de Ebro (El),50062,Burgo de Ebro (El),20,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MATARRANYA,Calaceite,44049,Calaceite,11,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MATARRANYA,Mazaleón,44147,Mazaleón,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MATARRANYA,Valdeltormo,44245,Valdeltormo,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MESA-PIEDRA-ALTO CAMPILLO,Ibdes,50125,Ibdes,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MESA-PIEDRA-ALTO CAMPILLO,Jaraba,50129,Jaraba,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MESA-PIEDRA-ALTO CAMPILLO,Nuévalos,50192,Nuévalos,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONEGROS NORTE,Albalatillo,22008,Albalatillo,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONEGROS NORTE,Lanaja,22137,Lanaja,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONEGROS NORTE,Orillena,22137,Lanaja,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONEGROS NORTE,San Juan del Flumen,22213,Sariñena,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONLORA,Luna,50151,Luna,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONTEARAGON,Angüés,22027,Angüés,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONTEARAGON,Chimillas,22096,Chimillas,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONTEARAGON,Siétamo,22222,Siétamo,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONTEARAGON,Tierz,22228,Tierz,11,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONTESNEGROS,Candasnos,22077,Candasnos,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONTESNEGROS,Castejón de Monegros,22083,Castejón de Monegros,8,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. MONTESNEGROS,Peñalba,22172,Peñalba,8,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. OLEA,Aguaviva,44004,Aguaviva,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. OLEA,Bordón,44044,Bordón,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. OLEA,Castellote,44071,Castellote,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. OLEA,Foz-Calanda,44107,Foz-Calanda,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. ORBA,Muel,50181,Muel,12,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PALMIRA PLA,Allepuz,44021,Allepuz,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PALMIRA PLA,Cedrillas,44074,Cedrillas,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PALMIRA PLA,Gúdar,44121,Gúdar,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PORTICO DE ARAGON,Camarena de la Sierra,44054,Camarena de la Sierra,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PORTICO DE ARAGON,Fuentes de Rubielos,44113,Fuentes de Rubielos,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PORTICO DE ARAGON,Puebla de Valverde (La),44192,Puebla de Valverde (La),4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PORTICO DE ARAGON,Rubielos de Mora,44201,Rubielos de Mora,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PORTICO DE ARAGON,Valbona,44240,Valbona,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PUERTA DE ARAGON,Ariza,50034,Ariza,8,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. PUERTA DE ARAGON,Cetina,50081,Cetina,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. REGALLO,Puigmoreno,44013,Alcañiz,5,AM06101013,3 años,3 años,E. Infantil
